id,marriage,attend,denom,gender,ideology,orientation,friends,educ,region,race,age
504,1,3,7,2,5,1,1,12,3,2,30
505,3,1,7,1,3,1,5,17,3,2,54
506,3,3,7,1,0,1,1,14,3,2,40
507,1,3,7,1,0,1,1,16,3,2,32
508,3,1,7,1,0,1,5,12,3,2,23
509,2,1,7,2,0,1,5,12,3,2,48
510,2,2,7,2,0,1,1,17,3,2,48
511,3,1,7,2,3,1,1,9,3,2,27
512,3,2,7,2,0,1,1,12,3,2,18
513,1,2,1,2,4,1,1,14,3,1,69
514,3,1,7,2,0,1,5,17,3,2,44
515,2,4,1,1,0,1,1,16,3,2,53
516,3,4,7,1,0,1,5,14,3,2,49
517,3,2,1,1,0,1,5,8,3,2,72
518,2,4,7,1,2,1,5,16,3,2,23
519,2,5,7,2,4,1,1,13,3,1,33
520,3,1,1,1,3,1,5,13,3,2,70
521,3,1,7,1,3,1,5,16,3,2,63
522,1,3,7,2,1,1,1,13,3,2,28
523,3,1,7,2,6,1,5,12,3,1,62
524,1,5,1,1,3,1,5,12,3,1,34
525,3,5,1,1,4,1,5,12,3,1,62
526,1,1,1,2,4,1,5,12,3,1,58
527,1,5,7,2,4,1,5,12,3,1,37
528,3,1,1,2,5,1,1,13,3,1,44
529,1,2,1,2,0,1,1,13,3,2,49
530,3,3,7,1,2,1,1,12,3,2,54
531,3,2,1,2,4,1,1,16,3,1,26
532,3,2,1,2,5,1,5,14,3,1,53
533,1,1,7,1,6,1,5,12,3,1,43
534,1,5,7,1,2,1,5,12,3,1,25
535,3,1,7,2,0,1,1,12,3,1,65
536,3,3,7,2,0,1,5,14,3,2,65
537,2,2,1,1,6,1,1,16,3,1,50
538,2,4,2,2,3,1,1,12,3,4,49
539,3,4,2,2,6,1,1,17,3,1,47
540,1,2,7,2,2,1,1,14,3,1,36
541,3,1,7,2,2,1,5,14,3,2,48
542,3,3,1,1,3,1,1,12,3,1,35
543,2,1,1,2,1,1,5,12,3,1,59
544,1,5,7,1,4,1,1,13,3,1,33
545,3,4,7,1,0,1,5,11,3,1,54
546,3,2,7,1,3,1,5,13,3,1,21
547,1,4,7,2,2,1,1,9,3,2,62
548,2,4,7,2,1,3,1,12,3,2,22
549,3,5,7,2,0,1,5,14,2,2,38
550,3,3,7,2,0,1,5,12,2,2,36
551,1,3,7,1,1,1,5,12,2,2,37
552,3,1,7,2,0,1,5,13,2,2,50
553,1,3,7,2,2,1,1,8,2,2,26
554,2,3,7,1,6,1,5,11,2,2,45
555,3,4,7,2,0,1,1,12,2,2,39
556,3,2,1,1,0,1,5,13,2,2,57
557,1,4,1,2,0,1,1,12,2,2,56
